title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Alice's Adventures in Wonderland,Lewis Carroll,"January 1, 1865",3.99,442010,96,21912,"Classics, Fantasy, Fiction, Childrens, Audiobook, Adventure, Middle Grade"
The Perks of Being a Wallflower,Stephen Chbosky,"February 1, 1999",4.24,2022416,213,110017,"Young Adult, Fiction, Contemporary, Classics, Coming Of Age, Romance, Mental Health"
The Last of the Mohicans,James Fenimore Cooper,"February 1, 1826",3.70,102923,410,3694,"Classics, Fiction, Historical Fiction, Adventure, Literature, Historical, American"
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"January 1, 1959",4.46,170382,288,14016,"Nonfiction, History, Adventure, Biography, Audiobook, Book Club, Travel"
The Princess and the Goblin,George MacDonald,"January 1, 1872",4.03,41785,241,3242,"Fantasy, Classics, Fiction, Childrens, Fairy Tales, Middle Grade, Young Adult"
O Pioneers!,Willa Cather,"January 1, 1913",3.90,59245,159,4929,"Classics, Fiction, Historical Fiction, Literature, Book Club, American, Historical"
The Maze Runner,James Dashner,"October 6, 2009",4.06,1704998,384,71968,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Adventure, Audiobook"
The Crystal Cave,Mary  Stewart,"January 1, 1970",4.13,48679,494,2321,"Fantasy, Fiction, Historical Fiction, Arthurian, Historical, Mythology, Classics"
Harry Potter Collection,J.K. Rowling,"January 1, 2005",4.71,36168,3342,1005,"Fantasy, Harry Potter, Fiction, Young Adult, Magic, Adventure, Classics"
The Happy Prince and Other Tales,Oscar Wilde,"May 1, 1888",4.16,33778,96,2157,"Classics, Short Stories, Fiction, Fantasy, Fairy Tales, Childrens, 19th Century"
Palace Walk,Naguib Mahfouz,"January 1, 1956",4.20,22799,501,2658,"Fiction, Historical Fiction, Egypt, Classics, Africa, Novels, Middle East"
A Princess of Mars,Edgar Rice Burroughs,"February 7, 1912",3.81,60898,186,4507,"Science Fiction, Fantasy, Classics, Fiction, Adventure, Pulp, Audiobook"
Dead Until Dark,Charlaine Harris,"May 1, 2001",3.97,562230,292,21443,"Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction, Mystery"
Possession,A.S. Byatt,"September 1, 1990",3.90,84949,555,6189,"Fiction, Historical Fiction, Romance, Classics, Mystery, Literary Fiction, Historical"
The Bluest Eye,Toni Morrison,"June 1, 1970",4.13,307716,216,24525,"Fiction, Classics, Historical Fiction, Banned Books, Race, Book Club, African American"
She,H. Rider Haggard,"January 1, 1887",3.56,14264,317,1338,"Classics, Fantasy, Fiction, Adventure, Africa, Historical Fiction, 19th Century"
The Girl With the Dragon Tattoo,Stieg Larsson,"August 1, 2005",4.18,3473501,480,84727,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Book Club, Suspense"
Battle Cry,Leon Uris,"June 1, 1953",4.17,10289,694,219,"Historical Fiction, Fiction, War, Military Fiction, Historical, World War II, Novels"
Gorky Park,Martin Cruz Smith,"March 1, 1981",4.04,70266,433,1639,"Mystery, Fiction, Thriller, Crime, Russia, Mystery Thriller, Detective"
Red Sky at Morning,Richard  Bradford,"January 1, 1968",4.11,3357,256,368,"Fiction, Historical Fiction, Classics, Coming Of Age, Young Adult, Book Club, Humor"
