Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
20503905,"İnce Memed 2 (İnce Memed, #2)",Yaşar Kemal,"Kemal, Yaşar",,,,5,4.52,Yapı Kredi Yayınları,Paperback,459.0,2004.0,1969.0,2025-06-27,2025-06-27,,,read,,,,1,0,"Turkish Literature, Fiction, Turkish, Roman, Classics, Novels, Literature"
22023068,Sokağın Dili Olsa,James Baldwin,"Baldwin, James",Seçkin Selvi,9750812328,9789750812323,3,4.27,Yapı Kredi Yayınları,Paperback,174.0,2007.0,1974.0,2025-06-19,2025-06-18,,,read,,,,1,0,"Fiction, Classics, Romance, Historical Fiction, Audiobook, Book Club, Race"
58176395,Gece Yarısı Kütüphanesi,Matt Haig,"Haig, Matt",Kıvanç Güney,6051981837,9786051981833,2,3.98,Domingo Yayınevi,Paperback,296.0,2021.0,2020.0,2025-06-18,2025-06-18,,,read,,,,1,0,"Fiction, Fantasy, Book Club, Audiobook, Contemporary, Magical Realism, Science Fiction"
32452927,"Geceyarısı Kuleleri (Zaman Çarkı, #13)",Robert Jordan,"Jordan, Robert",Niran Elçi,6053751316,9786053751311,4,4.48,İthaki Yayınları,Hardcover,956.0,2011.0,2010.0,2025-06-15,2025-06-15,,,read,,,,1,0,"Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Science Fiction Fantasy, Epic"
27256879,Eski Türk Mitolojisi,Jean-Paul Roux,"Roux, Jean-Paul",Musa Yaşar Sağlam,9944795348,9789944795340,0,3.84,Bilgesu Yayıncılık,Paperback,158.0,2012.0,1999.0,,2025-06-15,to-read,to-read (#19),to-read,,,,0,0,"History, Mythology, Nonfiction"
10933665,Beni Asla Bırakma,Kazuo Ishiguro,"Ishiguro, Kazuo",Mine Haydaroğlu,9750811879,9789750811876,4,3.85,Yapı Kredi Yayınları,Paperback,272.0,2007.0,2005.0,2025-06-15,2025-06-15,,,read,Bro çok kolay 5 yapardın bu kitabı ya ,,,1,0,"Fiction, Science Fiction, Dystopia, Book Club, Contemporary, Literary Fiction, Classics"
34742636,Pericles,William Shakespeare,"Shakespeare, William",Hamdi Koç,9944881716,9789944881715,4,3.46,Türkiye İş Bankası Kültür Yayınları,Paperback,120.0,2007.0,1608.0,2025-06-03,2025-06-03,,,read,,,,1,0,"Shakespeare, Plays, Classics, Drama, Fiction, Theatre, Poetry"
32507940,Huysuz Kız,William Shakespeare,"Shakespeare, William",Bülent Bozkurt,9751405653,9789751405654,2,3.73,Remzi Kitabevi,Paperback,160.0,2004.0,1593.0,2025-06-02,2025-06-02,,,read,,,,1,0,"Classics, Plays, Shakespeare, Fiction, Drama, School, Theatre"
13561532,"Fırtına Toplanıyor (Zaman Çarkı, #12)",Robert Jordan,"Jordan, Robert","Brandon Sanderson, Niran Elçi",6053750328,9786053750321,4,4.44,İthaki Yayınları,Hardcover,896.0,2010.0,2009.0,2025-05-31,2025-05-31,,,read,Zaman çarkı lütfen her kitapta son bölümleri çok güzel yazarak beni umutlandırmayı bırak ,,,1,0,"Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Science Fiction Fantasy, Epic"
108352509,Otranto Satosu,Horace Walpole,"Walpole, Horace",,975074277,9789750742774,2,3.19,Can Yayinlari,Paperback,129.0,2017.0,1764.0,2025-05-31,2025-05-31,,,read,,,,1,0,"Classics, Gothic, Horror, Fiction, Fantasy, 18th Century, Mystery"
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,0345476875,9780345476876,2,4.02,Ballantine Books,Paperback,346.0,2004.0,1976.0,2025-05-31,2024-11-06,,,read,,,,1,0,"Horror, Fantasy, Fiction, Vampires, Classics, Paranormal, Gothic"
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,0143039970,9780143039976,3,3.91,Penguin Books,Paperback,152.0,2006.0,1962.0,2025-05-28,2025-05-28,,,read,,,,1,0,"Horror, Classics, Fiction, Gothic, Mystery, Audiobook, Book Club"
208627347,We Have Always Lived in the Caste,Shirley Jackson,"Jackson, Shirley",,,,0,3.91,Viking Press,Hardcover,0.0,1962.0,1962.0,2025-05-28,2025-05-28,to-read,to-read (#18),to-read,,,,1,0,"Horror, Classics, Fiction, Gothic, Mystery, Audiobook, Book Club"
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,4,3.83,Saga Press,ebook,209.0,2019.0,2019.0,2025-05-18,2025-05-18,,,read,,,,2,0,"Science Fiction, Romance, Fiction, Fantasy, LGBT, Queer, Time Travel"
11112894,"İnce Memed 1 (İnce Memed, #1)",Yaşar Kemal,"Kemal, Yaşar",,9750807146,9789750807145,4,4.5,Yapı Kredi Yayınları,Paperback,436.0,2004.0,1955.0,2025-05-18,2025-05-18,,,read,,,,1,0,"Fiction, Turkish Literature, Turkish, Classics, Roman, Literature, Historical Fiction"
13578175,The Emperor's Soul,Brandon Sanderson,"Sanderson, Brandon",,1616960922,9781616960926,5,4.37,Tachyon Publications,Paperback,175.0,2012.0,2012.0,2025-05-18,2025-05-18,,,read,,,,1,0,"Fantasy, Fiction, Novella, Audiobook, High Fantasy, Short Stories, Magic"
28823401,Kaos'un Kutsal Kitabı,Albert Caraco,"Caraco, Albert",Işık Ergüden,9755707719,9789755707716,3,3.79,Sel Yayıncılık,Paperback,104.0,2016.0,1982.0,2025-05-15,2024-03-17,,,read,,,,1,0,"Philosophy, Nonfiction, French Literature, Essays"
209268670,Eugénie de Franval: Trajik Bir Öykü,Marquis de Sade,"Sade, Marquis de",Birsel Uzma,6052653132,9786052653135,3,3.47,İthaki Yayınları,Paperback,96.0,2024.0,1800.0,2025-05-07,2025-05-07,,,read,,,,1,0,"Fiction, Classics, Erotica, France, Philosophy, Literature, French Literature"
12008285,On Küçük Zenci,Agatha Christie,"Christie, Agatha",Semih Yazıcıoğlu,,9789754050226,0,4.27,Altın Kitaplar ,Paperback,191.0,2008.0,1939.0,2025-05-04,2025-05-04,,,read,,,,1,0,"Mystery, Classics, Fiction, Agatha Christie, Thriller, Crime, Mystery Thriller"
8452073,"Atuan Mezarları (Yerdeniz, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",Çiğdem Erkal İpek,9753420714,9789753420716,4,4.14,Metis Yayınları,Paperback,151.0,1999.0,1971.0,2025-04-29,2025-04-26,,,read,,,,1,0,"Fantasy, Fiction, Young Adult, Classics, Science Fiction Fantasy, Audiobook, High Fantasy"
7063044,"Harry Potter ve Sırlar Odası (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",,9750802950,9789750802959,3,4.43,Yapı Kredi Yayınları,Paperback,314.0,2001.0,1998.0,2025-04-30,2025-04-30,,,read,,,,1,0,"Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens"
44629485,Vampir,John William Polidori,"Polidori, John William","Yiğit Yavuz, Yankı Enki, Hamdi Akçay",6053759333,9786053759331,2,3.32,İthaki Yayınları,Paperback,62.0,2019.0,1819.0,2025-04-29,2025-04-29,,,read,,,,1,0,"Classics, Horror, Gothic, Vampires, Fiction, Short Stories, Fantasy"
45019409,Arkadaşlarla Sohbetler,Sally Rooney,"Rooney, Sally",Pınar Umman,6055159767,9786055159764,2,3.73,Monokl ,Paperback,272.0,2019.0,2017.0,2025-04-14,2025-04-13,,,read,,,,1,0,"Fiction, Contemporary, Romance, Literary Fiction, Audiobook, LGBT, Book Club"
43071667,Carmilla,J. Sheridan Le Fanu,"Fanu, J. Sheridan Le",Yiğit Yavuz,6052956402,9786052956403,5,3.87,Türkiye İş Bankası Kültür Yayınları,Paperback,128.0,2018.0,1872.0,2025-04-14,2025-04-14,,,read,,,,1,0,"Classics, Horror, Gothic, Vampires, Fiction, Fantasy, Queer"
38589141,Gizli Tarih,Donna Tartt,"Tartt, Donna",Merve Sevtap Ilgın,6052994010,9786052994016,3,4.15,Pegasus Yayınları,Paperback,656.0,2018.0,1992.0,2025-04-03,2025-04-03,,,read,,,,1,0,"Fiction, Dark Academia, Mystery, Classics, Thriller, Contemporary, Literary Fiction"
42930177,Bana Sadece Anılarımızı Bıraktın,Adam Silvera,"Silvera, Adam",Gizem Yeşildal,6052995874,9786052995877,2,3.91,Pegasus Yayınları,Paperback,304.0,2018.0,2017.0,2025-03-29,2025-03-29,,,read,,,,1,0,"Young Adult, Contemporary, LGBT, Romance, Queer, Fiction, Mental Health"
23609263,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",Can Sevinç,6055069539,9786055069537,4,4.16,Akılçelen Kitaplar,Paperback,510.0,2014.0,2005.0,2025-02-26,2025-02-20,,,read,,,,1,0,"Fantasy, Fiction, Audiobook, High Fantasy, Epic Fantasy, Adult, Magic"
22841994,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,1408855658,9781408855652,3,4.47,Bloomsbury,Paperback,332.0,2014.0,1997.0,2025-02-23,2025-02-23,,,read,,,,1,0,"Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens"
125802790,Stepford Kadinlari,Ira Levin,"Levin, Ira",,6258327915,9786258327915,5,3.89,Ithaki Yayinlari,Paperback,144.0,2022.0,1972.0,2025-02-22,2025-02-21,,,read,,,,1,0,"Horror, Fiction, Classics, Science Fiction, Thriller, Mystery, Feminism"
