Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35161679,Görünmez Adam,H.G. Wells,"Wells, H.G.",Ali Kaftan,"=""6053756784""","=""9786053756781""",2,3.63,İthaki Yayınları,Paperback,232,2017,1897,2024/06/27,2024/06/26,,,read,,,,1,0
62221453,İyi Eşler,Louisa May Alcott,"Alcott, Louisa May",Nilgün Miler,"=""""","=""""",1,3.98,Türkiye İş Bankası Kültür Yayınları,Paperback,360,2022,1869,2024/06/25,2024/03/11,,,read,,,,1,0
57596823,Operadaki Hayalet,Gaston Leroux,"Leroux, Gaston",Can Erhan Kızmaz,"=""625765047X""","=""9786257650472""",2,3.96,İthaki Yayınları,Paperback,360,2021,1910,2024/06/23,2024/06/23,,,read,,,,1,0
27871290,Notre Dame'ın Kamburu,Victor Hugo,"Hugo, Victor",Volkan Yalçıntoklu,"=""6053320102""","=""9786053320104""",5,4.02,Türkiye İş Bankası Kültür Yayınları,Paperback,547,2014,1831,2024/06/22,2024/06/17,,,read,,,,1,0
44017627,"Wayward Son (Simon Snow, #2)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250146070""","=""9781250146076""",2,3.89,Wednesday Books,Hardcover,356,2019,2019,2024/06/22,2024/03/17,,,read,,,,1,0
32486513,Dorian Gray'in Portresi,Oscar Wilde,"Wilde, Oscar","Ezgi Altun, Elif Kadriye Özkılıç","=""6053755931""","=""9786053755937""",4,4.14,İthaki Yayınları,Paperback,216,2016,1890,2024/06/17,2024/06/16,,,read,,,,1,0
32768522,"Carry On (Simon Snow, #1)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250135028""","=""9781250135025""",4,4.16,Wednesday Books,Paperback,528,2017,2015,2024/06/15,2024/03/17,,,read,,,,1,0
17968964,Giovanni'nin Odası,James Baldwin,"Baldwin, James",Çiğdem Öztekin,"=""""","=""""",5,4.34,Yapı Kredi Yayınları,Paperback,168,2006,1956,2024/06/12,2024/06/12,,,read,,,,1,0
43697186,Red at the Bone,Jacqueline Woodson,"Woodson, Jacqueline",,"=""0525535276""","=""9780525535270""",0,3.96,Riverhead Books,Hardcover,196,2019,2019,2024/05/30,2024/05/30,,,read,,,,1,0
16032164,"Kaos Lordu (Zaman Çarkı, #6)",Robert Jordan,"Jordan, Robert",Niran Elçi,"=""""","=""""",0,4.20,İthaki Yayınları,Hardcover,1195,2005,1994,2024/05/30,2024/05/04,,,read,,,,1,0
